60,64,3
36,40,2
78,188,2
149,18,2
193,49,3
189,56,3
134,41,2
131,145,3
161,96,2
170,43,2
127,11,3
193,162,2
173,31,2
182,117,3
184,143,3
102,17,2
88,180,3
165,21,1
142,132,3
42,187,2
177,203,2
142,157,2
206,13,3
21,88,3
22,74,3
154,167,3
45,103,2
32,141,2
129,25,3
84,14,3
125,40,3
167,174,2
102,33,2
87,173,3
42,32,3
57,73,3
203,139,3
187,36,2
66,194,3
112,16,2
164,157,2
89,71,2
171,159,3
207,168,3
148,97,3
159,31,2
193,86,3
179,187,3
172,166,1
35,33,1
127,138,3
145,145,3
122,84,3
64,164,3
198,174,3
133,120,3
186,77,3
81,65,3
92,101,3
86,47,3
176,144,3
108,69,3
193,75,2
160,67,3
170,57,2
181,162,2
119,124,2
13,81,3
123,5,2
110,9,3
177,56,3
176,103,2
65,151,3
69,138,3
126,63,1
122,111,3
173,74,2
100,89,3
103,6,1
61,24,3
128,34,2
8,179,3
64,144,3
173,21,3
119,177,3
163,13,2
166,87,3
133,59,2
50,73,3
191,139,3
46,17,3
6,188,2
140,114,3
31,48,2
131,191,3
165,107,3
193,127,1
89,30,3
99,98,3
100,195,3
167,189,3
212,16,3
41,75,3
24,22,3
19,139,3
93,77,3
102,111,3
19,81,3
54,20,2
53,165,3
91,121,3
158,136,3
214,191,1
85,152,3
79,195,2
215,157,2
100,160,3
107,162,2
101,75,3
43,24,3
139,55,3
177,129,2
81,203,2
135,65,2
60,80,3
14,5,3
118,60,2
56,108,3
135,24,3
76,25,3
70,15,2
52,10,3
179,180,2
155,129,2
155,94,3
166,150,2
114,54,3
98,24,2
201,37,3
78,80,3
53,65,2
84,97,3
61,176,2
69,201,2
185,86,2
149,65,2
91,20,2
40,160,2
21,130,3
194,109,3
188,27,2
187,194,3
37,24,3
214,130,3
29,166,3
159,118,2
44,9,2
201,7,2
110,135,2
113,158,2
44,65,3
67,82,2
76,74,3
119,49,2
40,96,3
69,22,3
105,169,3
56,30,3
156,143,3
74,43,3
134,154,3
202,22,2
157,24,3
148,170,3
111,91,3
6,195,2
28,56,2
89,36,3
208,57,3
59,154,2
143,61,3
75,116,2
198,99,3
76,60,3
122,101,1
19,165,3
53,80,3
94,161,3
117,90,2
138,86,2
102,187,2
210,49,3
156,59,3
93,63,3
135,32,2
68,110,1
82,166,3
185,201,2
100,174,2
109,22,2
158,7,3
113,82,3
57,47,2
24,65,1
165,113,3
200,167,3
13,13,3
153,181,3
215,62,2
42,109,2
81,112,3
197,191,2
57,147,3
172,13,1
179,76,2
30,63,2
214,200,3
147,177,3
84,105,3
64,8,3
119,12,3
68,91,3
145,103,1
113,114,2
30,155,3
142,191,3
149,132,2
120,197,3
214,108,3
124,56,2
82,30,3
47,181,3
155,87,3
97,69,3
155,174,3
118,42,1
123,70,2
145,110,3
47,174,3
169,68,3
38,50,2
153,121,2
206,66,2
173,189,3
83,159,2
70,76,3
27,185,2
194,36,2
14,22,3
92,86,3
66,116,2
18,28,2
80,47,3
205,161,3
123,18,3
51,26,3
174,150,2
106,195,3
165,51,3
127,46,3
108,44,3
205,43,3
62,41,3
107,118,3
104,133,2
73,146,2
131,52,3
36,58,3
81,179,2
69,38,2
156,110,3
160,162,1
183,51,3
143,28,2
33,95,2
158,102,3
31,177,3
203,187,3
10,201,2
83,40,3
73,68,2
105,125,3
148,72,3
191,186,1
208,36,1
205,86,2
6,15,3
100,46,2
162,125,2
26,172,2
151,158,3
188,123,2
6,82,3
142,139,2
