3.100000000000000000e+01 1.610000000000000000e+02 4.673913043478260931e+01 7.500000000000000000e+01
1.240000000000000000e+02 1.280000000000000000e+02 6.695652173913043725e+01 6.782608695652174902e+01
1.430000000000000000e+02 1.220000000000000000e+02 7.108695652173912549e+01 6.652173913043478137e+01
8.300000000000000000e+01 3.300000000000000000e+01 5.804347826086956275e+01 4.717391304347826519e+01
1.470000000000000000e+02 8.400000000000000000e+01 7.195652173913043725e+01 5.826086956521739069e+01
7.300000000000000000e+01 3.600000000000000000e+01 5.586956521739130466e+01 4.782608695652174191e+01
2.000000000000000000e+01 6.000000000000000000e+01 4.434782608695652328e+01 5.304347826086956275e+01
1.490000000000000000e+02 9.000000000000000000e+01 7.239130434782609314e+01 5.956521739130434412e+01
8.600000000000000000e+01 1.800000000000000000e+01 5.869565217391304657e+01 4.391304347826086740e+01
1.540000000000000000e+02 2.900000000000000000e+01 7.347826086956521863e+01 4.630434782608695343e+01
8.500000000000000000e+01 5.300000000000000000e+01 5.847826086956521863e+01 5.152173913043478137e+01
1.150000000000000000e+02 9.000000000000000000e+00 6.500000000000000000e+01 4.195652173913043725e+01
7.900000000000000000e+01 1.220000000000000000e+02 5.717391304347826519e+01 6.652173913043478137e+01
1.600000000000000000e+02 5.800000000000000000e+01 7.478260869565218627e+01 5.260869565217391397e+01
1.610000000000000000e+02 1.230000000000000000e+02 7.500000000000000000e+01 6.673913043478260931e+01
1.370000000000000000e+02 9.000000000000000000e+00 6.978260869565217206e+01 4.195652173913043725e+01
5.000000000000000000e+01 1.490000000000000000e+02 5.086956521739130466e+01 7.239130434782609314e+01
5.100000000000000000e+01 2.300000000000000000e+01 5.108695652173913260e+01 4.500000000000000000e+01
2.100000000000000000e+01 3.900000000000000000e+01 4.456521739130435122e+01 4.847826086956521863e+01
4.900000000000000000e+01 7.600000000000000000e+01 5.065217391304347672e+01 5.652173913043478137e+01
4.000000000000000000e+01 4.000000000000000000e+01 4.869565217391304657e+01 4.869565217391304657e+01
1.270000000000000000e+02 1.700000000000000000e+01 6.760869565217390686e+01 4.369565217391304657e+01
9.000000000000000000e+01 3.900000000000000000e+01 5.956521739130434412e+01 4.847826086956521863e+01
1.540000000000000000e+02 7.200000000000000000e+01 7.347826086956521863e+01 5.565217391304348382e+01
7.600000000000000000e+01 1.420000000000000000e+02 5.652173913043478137e+01 7.086956521739131176e+01
1.260000000000000000e+02 1.740000000000000000e+02 6.739130434782609314e+01 7.782608695652174902e+01
